Country,Shape_Leng,bounding_box_area
Algeria,0.00522473139673,2.8905008423404945e-06
Algeria,0.0147090522808,4.979062236863102e-05
Algeria,0.00556629215357,3.279987328549212e-06
Algeria,2.15643903902e-05,1.9378473776566357e-10
Algeria,0.000433534320107,8.753357975915008e-08
Algeria,0.000445407832083,2.8945784000692227e-09
Algeria,0.00119722830225,1.2533049860073255e-07
Algeria,9.91002293393e-05,4.154584812985007e-09
Algeria,9.0553297971e-05,2.900739892352235e-09
Algeria,9.53011918361e-05,3.7922934032433704e-09
Algeria,0.000125500740087,6.574735806552723e-09
Algeria,0.00364831399117,3.382780166556194e-06
Algeria,0.000178973951499,1.237773405823646e-08
Algeria,0.0143617114016,1.6118967089686653e-05
Algeria,0.000192435337605,1.3945940182477129e-08
Algeria,0.0302876472549,0.00012284865934529592
Algeria,0.000167401556075,4.586463203211607e-09
Algeria,0.00204773029689,9.49441614038066e-08
Algeria,0.000682219816456,8.730910138001026e-09
Algeria,0.00232703308492,2.4730078064121895e-06
Algeria,0.0156937033531,4.915819482893741e-05
Algeria,0.00104850930304,5.456628190347893e-07
Algeria,0.0143927616912,4.112528045113397e-05
Algeria,0.000852327371106,2.0921877652391293e-07
Algeria,0.00341765359073,1.2188847831283465e-06
Algeria,0.00154029755468,1.8458019378885265e-07
Algeria,0.00102739182873,5.284382655256897e-08
Algeria,0.00151910437966,1.690732820458183e-07
Algeria,0.0110281207488,9.057466176666456e-06
Algeria,0.00223761101153,1.8109634892482136e-06
Algeria,0.000189029086878,1.2885932460429432e-08
Algeria,0.00354788776615,5.535931375322132e-06
Algeria,0.00329447784889,4.7450652718309e-06
Algeria,0.00455546791917,1.5561790284115932e-06
Algeria,0.00567398378531,1.3978798471664219e-05
Algeria,0.000927940195537,2.535461871962837e-07
Algeria,0.0051808697928,1.3374948872787419e-05
Algeria,0.00204605051785,1.3556971037103207e-06
Algeria,0.00253377317155,2.47503541054024e-06
Algeria,0.0381093072662,0.00033682513414757224
